nm	n	k
1650	1.198764	0.276975
1652.083618	1.196253	0.278549
1655.548828	1.19207	0.281188
1659.014282	1.187877	0.283854
1660	1.186682	0.284618
1662.480469	1.183673	0.286549
1665.947021	1.179458	0.289272
1669.414063	1.175235	0.292025
1670	1.17452	0.292493
1672.881592	1.171001	0.294806
1676.349609	1.166758	0.297617
1679.818115	1.162505	0.300458
1680	1.162282	0.300608
1683.287109	1.158244	0.303329
1686.756592	1.153973	0.30623
1690	1.149974	0.308971
1700	1.1376	0.31759
1710	1.125168	0.326474
1720	1.112684	0.335632
1730	1.100157	0.34507
1740	1.087595	0.354799
1750	1.075007	0.364825
1760	1.062405	0.375156
1770	1.0498	0.3858
1780	1.037204	0.396764
1790	1.02463	0.408055
1800	1.012093	0.419677
1810	0.999609	0.431636
1820	0.987193	0.443935
1830	0.974862	0.456578
1840	0.962635	0.469565
1850	0.950529	0.482897
1860	0.938564	0.496571
1870	0.926758	0.510585
1880	0.915131	0.524934
1890	0.903702	0.53961
1900	0.89249	0.554606
1910	0.881513	0.569911
1920	0.870788	0.585512
1930	0.860331	0.601396
1940	0.850158	0.617548
1950	0.840282	0.633951
1960	0.830715	0.650587
1970	0.821467	0.667438
1980	0.812546	0.684484
1990	0.80396	0.701705
2000	0.795712	0.719082
2010	0.787805	0.736595
2020	0.78024	0.754224
2030	0.773018	0.77195
2040	0.766134	0.789754
2050	0.759587	0.80762
2060	0.75337	0.825529
2070	0.747478	0.843467
2080	0.741904	0.861419
2090	0.736641	0.879371
2100	0.731681	0.89731
2110	0.727013	0.915225
2120	0.722631	0.933106
2130	0.718523	0.950943
2140	0.714681	0.968729
2150	0.711096	0.986454
2160	0.707758	1.004114
2170	0.704657	1.021701
2180	0.701784	1.039212
2190	0.699131	1.056642
2200	0.696689	1.073987
2210	0.694448	1.091244
2220	0.692402	1.108411
2230	0.690541	1.125484
2240	0.688859	1.142464
2250	0.687347	1.159348
2260	0.686	1.176136
2270	0.684809	1.192827
2280	0.683769	1.20942
2290	0.682873	1.225915
2300	0.682116	1.242313
2310	0.681492	1.258613
2320	0.680995	1.274817
2330	0.680621	1.290924
2340	0.680364	1.306935
2350	0.68022	1.322852
2360	0.680184	1.338674
2370	0.680253	1.354403
2380	0.680422	1.37004
2390	0.680687	1.385586
2400	0.681046	1.401042
2410	0.681494	1.416408
2420	0.682028	1.431688
2430	0.682645	1.44688
2440	0.683342	1.461987
2450	0.684116	1.47701
2460	0.684965	1.49195
2470	0.685886	1.506808
2480	0.686876	1.521585
2490	0.687934	1.536283
2500	0.689056	1.550903
